ID_Local,M,P,AquifThick,RelAquifThick,AquitThick,RelAquitThick,Depth
1,136918.00,218322.00,70.00,0.74,25.00,0.26,95.00
12,139826.00,220561.00,31.00,0.49,32.00,0.51,63.00
17,129293.60,226762.30,24.00,0.44,30.00,0.56,54.00
18,129648.00,226850.00,20.00,0.46,23.50,0.54,43.50
20,130060.60,228988.30,29.85,0.54,25.00,0.46,54.85
21,134310.80,230455.30,25.00,0.45,30.00,0.55,55.00
24,135383.00,218323.00,84.00,0.85,15.00,0.15,99.00
29,137711.00,217245.00,118.00,0.93,9.00,0.07,127.00
30,140600.00,223600.00,78.00,0.73,29.00,0.27,107.00
31,141050.00,223580.00,75.50,0.83,15.50,0.17,91.00
32,141795.00,223728.00,63.00,0.70,27.00,0.30,90.00
33,142100.00,219750.00,49.00,0.70,21.00,0.30,70.00
34,143834.00,225145.00,72.00,0.90,8.00,0.10,80.00
36,145560.00,221380.00,37.50,0.94,2.50,0.06,40.00
37,145675.00,220960.00,49.50,0.58,36.50,0.42,86.00
39,145970.00,223500.00,49.00,0.73,18.00,0.27,67.00
40,146382.30,235871.00,18.40,0.42,25.00,0.58,43.40
41,146670.30,237066.00,32.00,0.52,30.00,0.48,62.00
42,146991.00,236849.00,31.00,0.51,30.00,0.49,61.00
43,147302.40,237288.00,31.00,0.49,32.00,0.51,63.00
44,151239.00,224433.00,77.00,0.88,11.00,0.13,88.00
47,152850.00,241950.00,15.00,0.31,34.00,0.69,49.00
48,166310.00,258300.00,6.00,0.60,4.00,0.40,10.00
63,158460.00,250300.00,26.50,1.00,0.00,0.00,26.50
69,161750.00,256040.00,17.00,1.00,0.00,0.00,17.00
74,163432.00,252892.00,21.00,1.00,0.00,0.00,21.00
83,165541.00,265050.00,27.20,1.00,0.00,0.00,27.20
86,165584.00,264987.00,26.50,1.00,0.00,0.00,26.50
87,165643.00,266170.00,20.00,1.00,0.00,0.00,20.00
89,166305.10,257935.80,18.00,0.46,21.00,0.54,39.00
91,166700.00,271040.00,13.70,0.62,8.30,0.38,22.00
101,169860.00,264430.00,5.20,0.16,28.00,0.84,33.20
104,170240.00,266560.00,10.75,0.75,3.65,0.25,14.40
111,170980.00,270910.00,23.80,0.88,3.20,0.12,27.00
118,174290.00,270680.00,20.40,1.00,0.00,0.00,20.40
119,176820.00,275630.00,18.30,0.51,17.30,0.49,35.60
126,176978.00,275899.00,20.00,1.00,0.00,0.00,20.00
127,174332.00,270792.00,20.00,1.00,0.00,0.00,20.00
134,188592.00,279051.00,35.30,1.00,0.00,0.00,35.30
140,193296.00,278102.00,22.70,1.00,0.00,0.00,22.70
210,194300.00,278640.00,48.40,0.96,2.20,0.04,50.60
211,161506.00,244770.00,6.00,0.38,10.00,0.63,16.00
212,150150.00,237050.00,40.00,0.89,5.00,0.11,45.00
214,155050.00,236300.00,22.00,0.92,2.00,0.08,24.00
215,147560.00,225430.00,81.00,0.79,21.00,0.21,102.00
217,135030.00,218340.00,78.00,0.75,26.00,0.25,104.00
242,141270.00,223620.00,72.20,0.76,22.80,0.24,95.00
243,141297.00,223636.00,71.00,0.75,24.00,0.25,95.00
244,141966.00,223615.00,35.00,0.67,17.00,0.33,52.00
245,145670.00,221015.00,46.00,0.52,42.00,0.48,88.00
247,135381.00,218322.00,97.00,0.78,27.00,0.22,124.00
248,135333.00,218307.00,102.50,0.93,7.50,0.07,110.00
800,130587.94,228139.30,41.93,0.65,22.58,0.35,64.50
801,165355.09,255665.81,24.00,0.60,16.00,0.40,40.00
802,165396.16,264917.89,18.75,0.75,6.25,0.25,25.00
803,166848.63,268612.51,13.00,1.00,0.00,0.00,13.00
804,166840.74,266762.08,12.00,1.00,0.00,0.00,12.00
805,165404.38,266768.33,10.00,1.00,0.00,0.00,10.00
807,168246.97,259354.40,24.00,0.75,8.00,0.25,32.00
808,159611.02,257543.85,15.00,1.00,0.00,0.00,15.00
