ID_Local,Furo,M,P,Piezometry
17,390/208,129293.60,226762.30,-0.96
18,390/110,129648.00,226850.00,-4.05
20,390/99,130060.60,228988.30,-1.35
31,391/245,141050.00,223580.00,1.65
34,391/437,143834.00,225145.00,-2.14
42,377/54,146991.00,236849.00,-0.85
43,377/84,147302.40,237288.00,-2.14
74,353/687,163432.00,252892.00,-3.76
83,341/17,165541.00,265050.00,15.22
89,353/341,166305.10,257935.80,11.97
91,329/6,166700.00,271040.00,10.22
101,342/78,169860.00,264430.00,13.11
104,342/97,170240.00,266560.00,11.60
111,330/183,170980.00,270910.00,9.57
133,377/59,145228.00,236422.00,-0.90
134,331/2,188592.00,279051.00,21.30
140,331/15,193296.00,278102.00,59.76
162,404/69,134850.00,210870.00,-0.45
163,418/4,135060.00,204980.00,13.71
165,405/17,136600.00,219500.00,5.98
167,405/34,139561.00,211220.00,17.51
170,377/86,144320.00,234440.00,0.99
171,391/33,146740.00,226240.00,15.42
176,377/94,148399.00,234273.00,20.37
179,378/129,152520.00,231100.00,7.78
185,353/353,162940.00,253600.00,43.28
187,353/346,165000.00,258000.00,12.55
216,392/177,154866.00,222637.00,24.99
220,332/25,204590.00,275300.00,85.11
221,365/428,158510.00,249470.00,-18.93
223,392/29,152609.00,223430.00,16.83
225,404/61,133940.00,217820.00,-11.60
226,405/11,136800.00,219520.00,-0.75
227,405/67,137570.00,218952.00,1.40
228,404/51,135010.00,214800.00,-3.28
229,404/53,134950.00,210460.00,4.35
230,405/68,137570.00,208900.00,5.98
232,377/56,146687.00,237075.00,3.30
233,376/24,134003.00,230287.00,-6.89
